id,flight_code,origin,destination,air_time,distance,airport,flight_date
34,9E-3452,JFK,BOS,40,187,General Edward Lawrence Logan Intl,1/13/2019
35,9E-3452,JFK,BOS,39,187,General Edward Lawrence Logan Intl,1/28/2019
36,9E-3452,JFK,BOS,40,187,General Edward Lawrence Logan Intl,2/21/2019
37,9E-3452,JFK,BOS,47,187,General Edward Lawrence Logan Intl,3/4/2019
38,9E-3452,JFK,BOS,44,187,General Edward Lawrence Logan Intl,4/4/2019
39,9E-3452,JFK,BOS,32,187,General Edward Lawrence Logan Intl,4/19/2019
40,9E-3452,JFK,BOS,35,187,General Edward Lawrence Logan Intl,4/24/2019
41,9E-3452,JFK,BOS,47,187,General Edward Lawrence Logan Intl,6/25/2019
42,9E-3452,JFK,BOS,37,187,General Edward Lawrence Logan Intl,7/12/2019
43,9E-3452,JFK,BOS,36,187,General Edward Lawrence Logan Intl,7/12/2019
44,9E-3452,JFK,BOS,41,187,General Edward Lawrence Logan Intl,7/16/2019
45,9E-3452,JFK,BOS,44,187,General Edward Lawrence Logan Intl,7/16/2019
46,9E-3452,JFK,BOS,40,187,General Edward Lawrence Logan Intl,7/25/2019
47,9E-3452,JFK,BOS,37,187,General Edward Lawrence Logan Intl,8/12/2019
48,9E-3452,JFK,BOS,33,187,General Edward Lawrence Logan Intl,8/29/2019
49,9E-3452,JFK,BOS,41,187,General Edward Lawrence Logan Intl,9/1/2019
50,9E-3452,JFK,BOS,NA,187,General Edward Lawrence Logan Intl,9/5/2019
51,9E-3452,JFK,BOS,40,187,General Edward Lawrence Logan Intl,9/25/2019
52,9E-3452,JFK,BOS,37,187,General Edward Lawrence Logan Intl,11/10/2019
53,9E-3452,JFK,BOS,36,187,General Edward Lawrence Logan Intl,12/24/2019
54,9E-3452,JFK,BOS,41,187,General Edward Lawrence Logan Intl,1/8/2020
55,9E-3452,JFK,BOS,42,187,General Edward Lawrence Logan Intl,1/14/2020
56,9E-3452,JFK,BOS,40,187,General Edward Lawrence Logan Intl,2/4/2020
57,9E-3452,JFK,BOS,40,187,General Edward Lawrence Logan Intl,3/24/2020
58,9E-3452,JFK,BOS,36,187,General Edward Lawrence Logan Intl,4/20/2020
59,9E-3452,JFK,BOS,35,187,General Edward Lawrence Logan Intl,5/22/2020
60,9E-3453,JFK,BOS,35,187,General Edward Lawrence Logan Intl,2/16/2019
61,9E-3453,JFK,BOS,46,187,General Edward Lawrence Logan Intl,4/8/2019
62,9E-3453,JFK,BOS,43,187,General Edward Lawrence Logan Intl,5/21/2019
63,9E-3453,JFK,BOS,39,187,General Edward Lawrence Logan Intl,5/23/2019
64,9E-3453,JFK,BOS,45,187,General Edward Lawrence Logan Intl,6/5/2019
65,9E-3453,JFK,BOS,37,187,General Edward Lawrence Logan Intl,7/2/2019
66,9E-3453,JFK,BOS,31,187,General Edward Lawrence Logan Intl,7/17/2019
67,9E-3453,JFK,BOS,NA,187,General Edward Lawrence Logan Intl,7/21/2019
68,9E-3453,JFK,BOS,36,187,General Edward Lawrence Logan Intl,8/4/2019
69,9E-3453,JFK,BOS,41,187,General Edward Lawrence Logan Intl,8/10/2019
70,9E-3453,JFK,BOS,49,187,General Edward Lawrence Logan Intl,8/14/2019
71,9E-3453,JFK,BOS,41,187,General Edward Lawrence Logan Intl,9/26/2019
72,9E-3453,JFK,BOS,39,187,General Edward Lawrence Logan Intl,10/2/2019
73,9E-3453,JFK,BOS,37,187,General Edward Lawrence Logan Intl,10/7/2019
74,9E-3453,JFK,BOS,40,187,General Edward Lawrence Logan Intl,10/20/2019
75,9E-3453,JFK,BOS,42,187,General Edward Lawrence Logan Intl,10/31/2019
76,9E-3453,JFK,BOS,34,187,General Edward Lawrence Logan Intl,11/6/2019
77,9E-3453,JFK,BOS,44,187,General Edward Lawrence Logan Intl,11/11/2019
78,9E-3453,JFK,BOS,40,187,General Edward Lawrence Logan Intl,11/13/2019
79,9E-3453,JFK,BOS,41,187,General Edward Lawrence Logan Intl,1/8/2020
80,9E-3453,JFK,BOS,48,187,General Edward Lawrence Logan Intl,2/25/2020
81,9E-3453,JFK,BOS,38,187,General Edward Lawrence Logan Intl,3/9/2020
82,9E-3453,JFK,BOS,42,187,General Edward Lawrence Logan Intl,3/14/2020
83,9E-3453,JFK,BOS,38,187,General Edward Lawrence Logan Intl,4/26/2020
84,9E-3453,JFK,BOS,37,187,General Edward Lawrence Logan Intl,5/29/2020
85,9E-3453,JFK,BOS,43,187,General Edward Lawrence Logan Intl,5/31/2020
86,9E-3483,JFK,BOS,34,187,General Edward Lawrence Logan Intl,2/22/2019
87,9E-3483,JFK,BOS,33,187,General Edward Lawrence Logan Intl,2/23/2019
88,9E-3483,JFK,BOS,31,187,General Edward Lawrence Logan Intl,2/28/2019
89,9E-3483,JFK,BOS,40,187,General Edward Lawrence Logan Intl,5/1/2019
90,9E-3483,JFK,BOS,36,187,General Edward Lawrence Logan Intl,5/29/2019
91,9E-3483,JFK,BOS,43,187,General Edward Lawrence Logan Intl,7/31/2019
92,9E-3483,JFK,BOS,38,187,General Edward Lawrence Logan Intl,9/28/2019
93,9E-3483,JFK,BOS,41,187,General Edward Lawrence Logan Intl,9/30/2019
94,9E-3483,JFK,BOS,42,187,General Edward Lawrence Logan Intl,9/30/2019
95,9E-3483,JFK,BOS,41,187,General Edward Lawrence Logan Intl,10/18/2019
96,9E-3483,JFK,BOS,37,187,General Edward Lawrence Logan Intl,10/25/2019
97,9E-3483,JFK,BOS,32,187,General Edward Lawrence Logan Intl,10/30/2019
98,9E-3483,JFK,BOS,39,187,General Edward Lawrence Logan Intl,11/14/2019
99,9E-3483,JFK,BOS,35,187,General Edward Lawrence Logan Intl,11/25/2019
100,9E-3483,JFK,BOS,35,187,General Edward Lawrence Logan Intl,11/29/2019
101,9E-3483,JFK,BOS,34,187,General Edward Lawrence Logan Intl,12/29/2019
102,9E-3483,JFK,BOS,41,187,General Edward Lawrence Logan Intl,1/2/2020
103,9E-3483,JFK,BOS,41,187,General Edward Lawrence Logan Intl,1/10/2020
104,9E-3483,JFK,BOS,41,187,General Edward Lawrence Logan Intl,1/16/2020
105,9E-3483,JFK,BOS,43,187,General Edward Lawrence Logan Intl,3/2/2020
106,9E-3483,JFK,BOS,39,187,General Edward Lawrence Logan Intl,3/18/2020
107,9E-3483,JFK,BOS,35,187,General Edward Lawrence Logan Intl,4/23/2020
108,9E-3483,JFK,BOS,39,187,General Edward Lawrence Logan Intl,5/9/2020
109,9E-3483,JFK,BOS,40,187,General Edward Lawrence Logan Intl,5/9/2020
110,9E-3483,JFK,BOS,41,187,General Edward Lawrence Logan Intl,5/17/2020
111,9E-3483,JFK,BOS,44,187,General Edward Lawrence Logan Intl,5/24/2020
112,9E-3483,JFK,BOS,35,187,General Edward Lawrence Logan Intl,7/2/2020
113,9E-3521,JFK,ORD,130,740,Chicago Ohare Intl,1/9/2019
114,9E-3521,JFK,ORD,133,740,Chicago Ohare Intl,1/31/2019
115,9E-3521,JFK,ORD,124,740,Chicago Ohare Intl,2/3/2019
116,9E-3521,JFK,ORD,126,740,Chicago Ohare Intl,2/5/2019
117,9E-3521,JFK,ORD,140,740,Chicago Ohare Intl,2/17/2019
118,9E-3521,JFK,ORD,136,740,Chicago Ohare Intl,2/20/2019
119,9E-3521,JFK,ORD,123,740,Chicago Ohare Intl,3/2/2019
120,9E-3521,JFK,ORD,152,740,Chicago Ohare Intl,3/13/2019
121,9E-3521,JFK,ORD,136,740,Chicago Ohare Intl,3/25/2019
122,9E-3521,JFK,ORD,121,740,Chicago Ohare Intl,5/6/2019
123,9E-3521,JFK,ORD,131,740,Chicago Ohare Intl,5/26/2019
124,9E-3521,JFK,ORD,134,740,Chicago Ohare Intl,6/19/2019
125,9E-3521,JFK,ORD,130,740,Chicago Ohare Intl,6/30/2019
126,9E-3521,JFK,ORD,131,740,Chicago Ohare Intl,7/8/2019
127,9E-3521,JFK,ORD,128,740,Chicago Ohare Intl,9/7/2019
128,9E-3521,JFK,ORD,125,740,Chicago Ohare Intl,10/29/2019
129,9E-3521,JFK,ORD,130,740,Chicago Ohare Intl,11/11/2019
130,9E-3521,JFK,ORD,116,740,Chicago Ohare Intl,11/22/2019
131,9E-3521,JFK,ORD,125,740,Chicago Ohare Intl,12/4/2019
132,9E-3521,JFK,ORD,139,740,Chicago Ohare Intl,12/10/2019
133,9E-3521,JFK,ORD,137,740,Chicago Ohare Intl,12/10/2019
134,9E-3521,JFK,ORD,127,740,Chicago Ohare Intl,1/7/2020
135,9E-3521,JFK,ORD,127,740,Chicago Ohare Intl,2/24/2020
136,9E-3521,JFK,ORD,127,740,Chicago Ohare Intl,3/19/2020
137,9E-3521,JFK,ORD,123,740,Chicago Ohare Intl,4/25/2020
138,9E-3521,JFK,ORD,130,740,Chicago Ohare Intl,4/26/2020
139,9E-3521,JFK,ORD,NA,740,Chicago Ohare Intl,5/23/2020
140,9E-3521,JFK,ORD,143,740,Chicago Ohare Intl,5/25/2020
141,9E-3523,JFK,ORD,136,740,Chicago Ohare Intl,1/9/2019
142,9E-3523,JFK,ORD,131,740,Chicago Ohare Intl,2/9/2019
143,9E-3523,JFK,ORD,124,740,Chicago Ohare Intl,2/11/2019
144,9E-3523,JFK,ORD,138,740,Chicago Ohare Intl,5/25/2019
145,9E-3523,JFK,ORD,129,740,Chicago Ohare Intl,6/5/2019
146,9E-3523,JFK,ORD,122,740,Chicago Ohare Intl,6/30/2019
147,9E-3523,JFK,ORD,140,740,Chicago Ohare Intl,7/2/2019
148,9E-3523,JFK,ORD,NA,740,Chicago Ohare Intl,7/12/2019
149,9E-3523,JFK,ORD,130,740,Chicago Ohare Intl,8/1/2019
150,9E-3523,JFK,ORD,125,740,Chicago Ohare Intl,8/2/2019
151,9E-3523,JFK,ORD,132,740,Chicago Ohare Intl,8/4/2019
152,9E-3523,JFK,ORD,144,740,Chicago Ohare Intl,8/11/2019
153,9E-3523,JFK,ORD,122,740,Chicago Ohare Intl,9/13/2019
154,9E-3523,JFK,ORD,133,740,Chicago Ohare Intl,9/17/2019
155,9E-3523,JFK,ORD,129,740,Chicago Ohare Intl,10/7/2019
156,9E-3523,JFK,ORD,124,740,Chicago Ohare Intl,10/11/2019
157,9E-3523,JFK,ORD,130,740,Chicago Ohare Intl,10/30/2019
158,9E-3523,JFK,ORD,124,740,Chicago Ohare Intl,11/3/2019
159,9E-3523,JFK,ORD,121,740,Chicago Ohare Intl,12/16/2019
160,9E-3523,JFK,ORD,121,740,Chicago Ohare Intl,12/19/2019
161,9E-3523,JFK,ORD,147,740,Chicago Ohare Intl,2/20/2020
162,9E-3523,JFK,ORD,131,740,Chicago Ohare Intl,3/6/2020
163,9E-3523,JFK,ORD,NA,740,Chicago Ohare Intl,4/10/2020
164,9E-3523,JFK,ORD,124,740,Chicago Ohare Intl,5/10/2020
165,9E-3523,JFK,ORD,122,740,Chicago Ohare Intl,5/10/2020
166,9E-3523,JFK,ORD,132,740,Chicago Ohare Intl,5/27/2020
167,9E-3525,JFK,ORD,129,740,Chicago Ohare Intl,2/3/2019
168,9E-3525,JFK,ORD,124,740,Chicago Ohare Intl,2/11/2019
169,9E-3525,JFK,ORD,130,740,Chicago Ohare Intl,2/13/2019
170,9E-3525,JFK,ORD,127,740,Chicago Ohare Intl,3/2/2019
171,9E-3525,JFK,ORD,142,740,Chicago Ohare Intl,3/20/2019
172,9E-3525,JFK,ORD,134,740,Chicago Ohare Intl,4/20/2019
173,9E-3525,JFK,ORD,117,740,Chicago Ohare Intl,4/27/2019
174,9E-3525,JFK,ORD,140,740,Chicago Ohare Intl,5/29/2019
175,9E-3525,JFK,ORD,125,740,Chicago Ohare Intl,6/5/2019
176,9E-3525,JFK,ORD,128,740,Chicago Ohare Intl,6/20/2019
177,9E-3525,JFK,ORD,130,740,Chicago Ohare Intl,7/10/2019
178,9E-3525,JFK,ORD,130,740,Chicago Ohare Intl,7/17/2019
179,9E-3525,JFK,ORD,128,740,Chicago Ohare Intl,8/2/2019
180,9E-3525,JFK,ORD,110,740,Chicago Ohare Intl,8/16/2019
181,9E-3525,JFK,ORD,135,740,Chicago Ohare Intl,9/17/2019
182,9E-3525,JFK,ORD,127,740,Chicago Ohare Intl,9/19/2019
183,9E-3525,JFK,ORD,129,740,Chicago Ohare Intl,11/1/2019
184,9E-3525,JFK,ORD,131,740,Chicago Ohare Intl,11/5/2019
185,9E-3525,JFK,ORD,123,740,Chicago Ohare Intl,12/22/2019
186,9E-3525,JFK,ORD,137,740,Chicago Ohare Intl,12/22/2019
187,9E-3525,JFK,ORD,119,740,Chicago Ohare Intl,2/2/2020
188,9E-3525,JFK,ORD,123,740,Chicago Ohare Intl,2/27/2020
189,9E-3525,JFK,ORD,132,740,Chicago Ohare Intl,2/29/2020
190,9E-3525,JFK,ORD,142,740,Chicago Ohare Intl,4/1/2020
191,9E-3525,JFK,ORD,118,740,Chicago Ohare Intl,4/16/2020
192,9E-3525,JFK,ORD,122,740,Chicago Ohare Intl,4/21/2020
193,9E-3793,JFK,CLT,93,541,Charlotte Douglas Intl,6/7/2020
194,9E-3798,JFK,CLT,105,541,Charlotte Douglas Intl,2/3/2019
195,9E-3798,JFK,CLT,95,541,Charlotte Douglas Intl,2/10/2019
196,9E-3798,JFK,CLT,91,541,Charlotte Douglas Intl,2/13/2019
197,9E-3798,JFK,CLT,76,541,Charlotte Douglas Intl,3/4/2019
198,9E-3798,JFK,CLT,90,541,Charlotte Douglas Intl,3/5/2019
199,9E-3798,JFK,CLT,NA,541,Charlotte Douglas Intl,3/9/2019
200,9E-3798,JFK,CLT,91,541,Charlotte Douglas Intl,3/10/2019
201,9E-3798,JFK,CLT,89,541,Charlotte Douglas Intl,4/8/2019
202,9E-3798,JFK,CLT,85,541,Charlotte Douglas Intl,9/14/2019
203,9E-3798,JFK,CLT,NA,541,Charlotte Douglas Intl,9/19/2019
204,9E-3798,JFK,CLT,90,541,Charlotte Douglas Intl,9/24/2019
205,9E-3798,JFK,CLT,84,541,Charlotte Douglas Intl,10/7/2019
206,9E-3798,JFK,CLT,82,541,Charlotte Douglas Intl,11/9/2019
207,9E-3798,JFK,CLT,81,541,Charlotte Douglas Intl,11/13/2019
208,9E-3798,JFK,CLT,91,541,Charlotte Douglas Intl,11/30/2019
209,9E-3798,JFK,CLT,89,541,Charlotte Douglas Intl,12/13/2019
210,9E-3798,JFK,CLT,94,541,Charlotte Douglas Intl,12/18/2019
211,9E-3798,JFK,CLT,81,541,Charlotte Douglas Intl,1/27/2020
212,9E-3798,JFK,CLT,85,541,Charlotte Douglas Intl,2/12/2020
213,9E-3798,JFK,CLT,98,541,Charlotte Douglas Intl,2/21/2020
214,9E-3798,JFK,CLT,88,541,Charlotte Douglas Intl,2/26/2020
215,9E-3798,JFK,CLT,81,541,Charlotte Douglas Intl,3/14/2020
216,9E-3798,JFK,CLT,87,541,Charlotte Douglas Intl,4/8/2020
217,9E-3798,JFK,CLT,93,541,Charlotte Douglas Intl,4/12/2020
218,9E-3798,JFK,CLT,88,541,Charlotte Douglas Intl,4/22/2020
219,9E-3798,JFK,CLT,81,541,Charlotte Douglas Intl,4/23/2020
220,9E-3798,JFK,CLT,NA,541,Charlotte Douglas Intl,5/28/2020
221,9E-3856,JFK,ATL,120,760,Hartsfield Jackson Atlanta Intl,2/3/2019
222,9E-3856,JFK,ATL,132,760,Hartsfield Jackson Atlanta Intl,2/23/2019
223,9E-3856,JFK,ATL,129,760,Hartsfield Jackson Atlanta Intl,3/11/2019
224,9E-3856,JFK,ATL,122,760,Hartsfield Jackson Atlanta Intl,3/15/2019
225,9E-3856,JFK,ATL,134,760,Hartsfield Jackson Atlanta Intl,4/2/2019
226,9E-3856,JFK,ATL,118,760,Hartsfield Jackson Atlanta Intl,4/19/2019
227,9E-3856,JFK,ATL,117,760,Hartsfield Jackson Atlanta Intl,5/6/2019
228,9E-3856,JFK,ATL,131,760,Hartsfield Jackson Atlanta Intl,5/27/2019
229,9E-3856,JFK,ATL,131,760,Hartsfield Jackson Atlanta Intl,7/9/2019
230,9E-3856,JFK,ATL,128,760,Hartsfield Jackson Atlanta Intl,7/11/2019
231,9E-3856,JFK,ATL,114,760,Hartsfield Jackson Atlanta Intl,7/13/2019
232,9E-3856,JFK,ATL,NA,760,Hartsfield Jackson Atlanta Intl,8/16/2019
233,9E-3856,JFK,ATL,100,760,Hartsfield Jackson Atlanta Intl,8/30/2019
234,9E-3856,JFK,ATL,124,760,Hartsfield Jackson Atlanta Intl,11/5/2019
235,9E-3856,JFK,ATL,117,760,Hartsfield Jackson Atlanta Intl,11/27/2019
236,9E-3856,JFK,ATL,NA,760,Hartsfield Jackson Atlanta Intl,12/11/2019
237,9E-3856,JFK,ATL,126,760,Hartsfield Jackson Atlanta Intl,12/31/2019
238,9E-3856,JFK,ATL,110,760,Hartsfield Jackson Atlanta Intl,1/10/2020
239,9E-3856,JFK,ATL,127,760,Hartsfield Jackson Atlanta Intl,2/9/2020
240,9E-3856,JFK,ATL,119,760,Hartsfield Jackson Atlanta Intl,2/17/2020
241,9E-3856,JFK,ATL,113,760,Hartsfield Jackson Atlanta Intl,4/28/2020
242,9E-3856,JFK,ATL,118,760,Hartsfield Jackson Atlanta Intl,5/14/2020
243,9E-3856,JFK,ATL,117,760,Hartsfield Jackson Atlanta Intl,6/18/2020
244,AA-1,JFK,LAX,353,2475,Los Angeles Intl,2/3/2019
245,AA-1,JFK,LAX,375,2475,Los Angeles Intl,2/25/2019
246,AA-1,JFK,LAX,344,2475,Los Angeles Intl,3/11/2019
247,AA-1,JFK,LAX,362,2475,Los Angeles Intl,7/8/2019
248,AA-1,JFK,LAX,358,2475,Los Angeles Intl,7/28/2019
249,AA-1,JFK,LAX,344,2475,Los Angeles Intl,8/4/2019
250,AA-1,JFK,LAX,350,2475,Los Angeles Intl,8/21/2019
251,AA-1,JFK,LAX,323,2475,Los Angeles Intl,8/27/2019
252,AA-1,JFK,LAX,351,2475,Los Angeles Intl,9/2/2019
253,AA-1,JFK,LAX,336,2475,Los Angeles Intl,9/17/2019
254,AA-1,JFK,LAX,344,2475,Los Angeles Intl,9/17/2019
255,AA-1,JFK,LAX,343,2475,Los Angeles Intl,9/25/2019
256,AA-1,JFK,LAX,350,2475,Los Angeles Intl,10/6/2019
257,AA-1,JFK,LAX,344,2475,Los Angeles Intl,10/12/2019
258,AA-1,JFK,LAX,328,2475,Los Angeles Intl,10/25/2019
259,AA-1,JFK,LAX,345,2475,Los Angeles Intl,11/2/2019
260,AA-1,JFK,LAX,346,2475,Los Angeles Intl,1/25/2020
261,AA-1,JFK,LAX,343,2475,Los Angeles Intl,2/26/2020
262,AA-1,JFK,LAX,323,2475,Los Angeles Intl,2/28/2020
263,AA-1,JFK,LAX,342,2475,Los Angeles Intl,3/1/2020
264,AA-1,JFK,LAX,327,2475,Los Angeles Intl,3/3/2020
265,AA-1,JFK,LAX,340,2475,Los Angeles Intl,3/12/2020
266,AA-1,JFK,LAX,346,2475,Los Angeles Intl,3/19/2020
267,AA-1,JFK,LAX,330,2475,Los Angeles Intl,4/2/2020
268,AA-1,JFK,LAX,345,2475,Los Angeles Intl,4/3/2020
269,AA-1,JFK,LAX,316,2475,Los Angeles Intl,4/23/2020
270,AA-1,JFK,LAX,341,2475,Los Angeles Intl,4/23/2020
271,AA-1,JFK,LAX,346,2475,Los Angeles Intl,5/5/2020
272,AA-1,JFK,LAX,336,2475,Los Angeles Intl,5/21/2020
273,AA-1039,JFK,FLL,148,1069,Fort Lauderdale Hollywood Intl,1/14/2019
274,AA-1039,JFK,FLL,162,1069,Fort Lauderdale Hollywood Intl,2/1/2019
275,AA-1039,JFK,FLL,155,1069,Fort Lauderdale Hollywood Intl,2/10/2019
276,AA-1039,JFK,FLL,169,1069,Fort Lauderdale Hollywood Intl,3/17/2019
277,AA-1039,JFK,FLL,165,1069,Fort Lauderdale Hollywood Intl,3/31/2019
278,AA-1039,JFK,FLL,176,1069,Fort Lauderdale Hollywood Intl,4/2/2019
279,AA-1039,JFK,FLL,158,1069,Fort Lauderdale Hollywood Intl,5/1/2019
280,AA-1039,JFK,FLL,168,1069,Fort Lauderdale Hollywood Intl,5/15/2019
281,AA-1039,JFK,FLL,159,1069,Fort Lauderdale Hollywood Intl,6/2/2019
282,AA-1039,JFK,FLL,178,1069,Fort Lauderdale Hollywood Intl,6/3/2019
283,AA-1039,JFK,FLL,173,1069,Fort Lauderdale Hollywood Intl,6/4/2019
284,AA-1039,JFK,FLL,157,1069,Fort Lauderdale Hollywood Intl,7/12/2019
285,AA-1039,JFK,FLL,168,1069,Fort Lauderdale Hollywood Intl,10/1/2019
286,AA-1039,JFK,FLL,157,1069,Fort Lauderdale Hollywood Intl,10/19/2019
287,AA-1039,JFK,FLL,149,1069,Fort Lauderdale Hollywood Intl,10/26/2019
288,AA-1039,JFK,FLL,166,1069,Fort Lauderdale Hollywood Intl,12/9/2019
289,AA-1039,JFK,FLL,154,1069,Fort Lauderdale Hollywood Intl,1/16/2020
290,AA-1039,JFK,FLL,158,1069,Fort Lauderdale Hollywood Intl,1/31/2020
291,AA-1039,JFK,FLL,158,1069,Fort Lauderdale Hollywood Intl,2/16/2020
292,AA-1039,JFK,FLL,172,1069,Fort Lauderdale Hollywood Intl,2/24/2020
293,AA-1039,JFK,FLL,175,1069,Fort Lauderdale Hollywood Intl,2/24/2020
294,AA-1039,JFK,FLL,166,1069,Fort Lauderdale Hollywood Intl,3/10/2020
295,AA-1039,JFK,FLL,161,1069,Fort Lauderdale Hollywood Intl,3/25/2020
296,AA-1039,JFK,FLL,148,1069,Fort Lauderdale Hollywood Intl,4/10/2020
297,AA-1039,JFK,FLL,154,1069,Fort Lauderdale Hollywood Intl,4/10/2020
298,AA-1039,JFK,FLL,167,1069,Fort Lauderdale Hollywood Intl,4/23/2020
299,AA-1039,JFK,FLL,163,1069,Fort Lauderdale Hollywood Intl,6/6/2020
300,AA-1039,JFK,FLL,159,1069,Fort Lauderdale Hollywood Intl,7/4/2020
301,AA-1073,LGA,MIA,169,1096,Miami Intl,4/3/2019
302,AA-1073,LGA,MIA,161,1096,Miami Intl,6/14/2019
303,AA-1073,LGA,MIA,159,1096,Miami Intl,6/23/2019
304,AA-1073,LGA,MIA,147,1096,Miami Intl,7/27/2019
305,AA-1073,LGA,MIA,148,1096,Miami Intl,8/14/2019
306,AA-1073,LGA,MIA,150,1096,Miami Intl,8/22/2019
307,AA-1073,LGA,MIA,154,1096,Miami Intl,8/23/2019
308,AA-1073,LGA,MIA,146,1096,Miami Intl,9/8/2019
309,AA-1073,LGA,MIA,176,1096,Miami Intl,9/20/2019
310,AA-1073,LGA,MIA,168,1096,Miami Intl,9/28/2019
311,AA-1073,LGA,MIA,161,1096,Miami Intl,10/13/2019
312,AA-1073,LGA,MIA,153,1096,Miami Intl,10/23/2019
313,AA-1073,LGA,MIA,156,1096,Miami Intl,11/10/2019
314,AA-1073,LGA,MIA,172,1096,Miami Intl,11/19/2019
315,AA-1073,LGA,MIA,145,1096,Miami Intl,12/18/2019
316,AA-1073,LGA,MIA,162,1096,Miami Intl,12/20/2019
317,AA-1073,LGA,MIA,163,1096,Miami Intl,12/24/2019
318,AA-1073,LGA,MIA,157,1096,Miami Intl,1/8/2020
319,AA-1073,LGA,MIA,157,1096,Miami Intl,1/18/2020
320,AA-1073,LGA,MIA,155,1096,Miami Intl,1/23/2020
321,AA-1073,LGA,MIA,162,1096,Miami Intl,2/7/2020
322,AA-1073,LGA,MIA,158,1096,Miami Intl,2/15/2020
323,AA-1073,LGA,MIA,141,1096,Miami Intl,2/22/2020
324,AA-1073,LGA,MIA,158,1096,Miami Intl,3/1/2020
325,AA-1073,LGA,MIA,158,1096,Miami Intl,3/18/2020
326,AA-1073,LGA,MIA,151,1096,Miami Intl,4/8/2020
327,AA-1073,LGA,MIA,160,1096,Miami Intl,4/28/2020
328,AA-1073,LGA,MIA,158,1096,Miami Intl,5/21/2020
329,AA-1073,LGA,MIA,161,1096,Miami Intl,6/24/2020
330,AA-1141,JFK,MIA,156,1089,Miami Intl,1/3/2019
331,AA-1141,JFK,MIA,140,1089,Miami Intl,1/10/2019
332,AA-1141,JFK,MIA,157,1089,Miami Intl,3/10/2019
333,AA-1141,JFK,MIA,154,1089,Miami Intl,4/29/2019
334,AA-1141,JFK,MIA,153,1089,Miami Intl,5/16/2019
335,AA-1141,JFK,MIA,151,1089,Miami Intl,5/23/2019
336,AA-1141,JFK,MIA,144,1089,Miami Intl,5/27/2019
337,AA-1141,JFK,MIA,140,1089,Miami Intl,6/28/2019
338,AA-1141,JFK,MIA,155,1089,Miami Intl,8/16/2019
339,AA-1141,JFK,MIA,143,1089,Miami Intl,8/22/2019
340,AA-1141,JFK,MIA,157,1089,Miami Intl,9/8/2019
341,AA-1141,JFK,MIA,152,1089,Miami Intl,9/19/2019
342,AA-1141,JFK,MIA,148,1089,Miami Intl,10/5/2019
